what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201102011614,"org.eclipse.linuxtools.callgraph.launch",1301098581982
started,bundle,org.eclipse.linuxtools.oprofile.launch,0.3.0.201102011614,"org.eclipse.linuxtools.oprofile.launch",1301098581996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301098581999
started,bundle,org.eclipse.linuxtools.valgrind.core,0.7.0.201102011614,"org.eclipse.linuxtools.valgrind.core",1301098582026
started,bundle,org.eclipse.linuxtools.valgrind.launch,0.7.0.201102011614,"org.eclipse.linuxtools.valgrind.launch",1301098582033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301098582466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301098582528
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201101311025,"org.eclipse.cdt.debug.mi.ui",1301098589776
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.0.201101311025,"org.eclipse.cdt.debug.mi.core",1301098589860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301098589948
started,bundle,org.eclipse.cdt.launch,7.0.0.201101311025,"org.eclipse.cdt.launch",1301098589960
opened,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1301098590470
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.0.201101311025,"org.eclipse.cdt.managedbuilder.gnu.ui",1301098591131
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1301098593866
started,bundle,org.eclipse.cdt.dsf,2.2.0.201101311025,"org.eclipse.cdt.dsf",1301098602107
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.0.201101311025,"org.eclipse.cdt.dsf.gdb",1301098602168
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201101311025,"org.eclipse.cdt.dsf.gdb.ui",1301098602201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301098605661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301098605961
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301098632698
started,bundle,org.eclipse.search,3.6.100.v20110124-0100,"org.eclipse.search",1301098634779
started,bundle,org.eclipse.compare.core,3.5.200.I20101102-0800,"org.eclipse.compare.core",1301098637939
